fideid, riskscore, gamecount, oprating 
12401277, 133.62365047106627, 30, 2236.2 
12401285, 137.79149828410328, 52, 2174.173076923077 
12401358, 131.36170935640212, 39, 2354.6153846153848 
12401676, 134.43411571104966, 42, 2110.690476190476 
12401749, 129.44350337337315, 25, 2201.08 
12401820, 134.0407411806231, 134, 2425.4776119402986 
12401838, 135.97942448758556, 51, 2218.5882352941176 
12402435, 129.74564126700471, 40, 2255.375 
12402532, 135.98600315776162, 70, 2358.5285714285715 
1240269, 134.85935022495002, 28, 2035.3214285714287 
1240323, 129.6302443258222, 26, 2074.846153846154 
12403407, 133.37160071165798, 24, 1963.0833333333333 
12403547, 131.1844819637428, 21, 1995.142857142857 
12403555, 129.73554903312692, 24, 2185.625 
12403865, 137.5306640170152, 25, 2044.08 
12404675, 130.77826179870755, 48, 2368.5833333333335 
12408956, 136.12893870012732, 25, 2135.56 
12410853, 136.79466134868284, 22, 2276.181818181818 
12412279, 134.13229281359864, 23, 2254.1304347826085 
1242911, 136.9993920768419, 47, 2276.936170212766 
124311, 133.6379461464561, 47, 2290.2978723404253 
1243772, 138.43623275062322, 27, 2144.259259259259 
1246372, 132.89870333587152, 24, 2067.375 
1248294, 128.42073593112298, 24, 1985.0416666666667 
1249452, 130.83084546552314, 32, 2005.09375 
12500739, 133.93844565801882, 96, 2408.9270833333335 
12501255, 132.01033783926243, 61, 2471.0163934426228 
12501816, 138.31317636634944, 68, 2223.1176470588234 
12502014, 139.92352141976193, 26, 2296.3076923076924 
12502200, 133.45493899084795, 70, 2356.1428571428573 
1250418, 136.0982797796076, 23, 2073.6521739130435 
12505684, 134.0181969285363, 23, 2353.7391304347825 
12505951, 134.72576146223707, 52, 2310.9423076923076 
1250728, 133.9980246388598, 22, 1879.7272727272727 
12510130, 129.1108061463485, 134, 2452.1716417910447 
12511099, 133.52109238342376, 49, 2297.7551020408164 
12511102, 133.101335875527, 27, 2426.037037037037 
12511412, 134.3244226364175, 94, 2423.2659574468084 
12512214, 135.83829910476283, 117, 2362.1794871794873 
12513342, 134.280135957752, 85, 2375.5176470588235 
1251406, 134.4187024596443, 22, 1972.909090909091 
12514195, 132.84544638053742, 39, 2376.153846153846 
12518450, 139.25006811889457, 35, 2247.6857142857143 
12519278, 132.2355645532216, 129, 2331.3798449612405 
12521213, 133.60084146659187, 101, 2522.762376237624 
12521604, 135.2314999824316, 54, 2346.277777777778 
1252640, 142.661246849826, 35, 1921.6 
12528846, 133.4362148430574, 59, 2416.898305084746 
12528897, 135.97776586691393, 41, 2132.3414634146343 
12539929, 133.0026130568037, 204, 2579.7303921568628 
1255002, 136.48672750763424, 26, 1972.5384615384614 
12558486, 134.22178537287758, 108, 2311.3888888888887 
12560715, 137.25403522097972, 36, 1979.5 
12561932, 138.23850785678147, 30, 2073.0666666666666 
12563285, 128.35263555882307, 34, 2336.0882352941176 
12567477, 136.62116215385637, 28, 2321.785714285714 
12571490, 133.56823765084022, 49, 2060.3673469387754 
12572381, 129.75833591559726, 62, 2340.7903225806454 
