fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1100211, M, Panczyk Krzysztof, 2297, POL, IM, 10, 1958, 130.62653991786246, 25, 2246.68 
1100599, M, Siekanski Janusz, 2190, POL, NULL, 20, 1968, 131.71207607663194, 29, 2087.793103448276 
110124, M, Garcia Palermo Carlos Horacio, 2419, ITA, GM, 10, 1953, 138.1870244533476, 38, 2297.8684210526317 
1101684, M, Grabarczyk Miroslaw, 2337, POL, GM, 10, 1971, 137.24040767422724, 26, 2180.076923076923 
1102222, M, Jaracz Pawel, 2461, POL, GM, 10, 1975, 132.7035181642201, 25, 2241.64 
1102753, M, Deszczynski Adam, 2321, POL, NULL, 20, 1970, 135.95753479029682, 21, 2260.7619047619046 
1103261, M, Jakubiec Artur, 2440, POL, GM, 10, 1973, 130.42834593279972, 38, 2382.7894736842104 
1103270, M, Jurkiewicz Krzysztof, 1936, POL, NULL, 20, 1957, 135.40752321910506, 21, 2033.7142857142858 
1103849, M, Samborski Henryk, 2057, POL, FM, 20, 1965, 135.0921226819962, 25, 2023.2 
110418, M, Acosta Pablo Alejandro, 2005, ARG, NULL, 20, 1982, 137.31164908134883, 38, 2026.421052631579 
1104306, M, Macieja Bartlomiej, 2514, POL, GM, 10, 1977, 130.99050738969183, 45, 2401.6666666666665 
1105663, M, Kempinski Robert, 2539, POL, GM, 10, 1977, 134.57556875589552, 26, 2589.6923076923076 
1105680, M, Markowski Tomasz, 2519, POL, GM, 10, 1975, 138.4960163006342, 32, 2469.4375 
1106147, M, Kasperkiewicz Pawel, 1887, POL, NULL, 20, 1976, 135.55808787035215, 41, 1870.0243902439024 
1106210, M, Rudolf Michal, 2325, POL, FM, 10, 1975, 132.97440837087746, 48, 2378.5416666666665 
1106236, M, Dobrowolski Piotr, 2420, POL, IM, 10, 1976, 136.77482257855542, 21, 2300.4285714285716 
1106457, M, Toczek Grzegorz, 2250, WLS, FM, 20, 1972, 138.34369756771775, 22, 2202.7727272727275 
1106619, F, Socko Monika, 2458, POL, GM, 10, 1978, 135.52846490828614, 138, 2336.231884057971 
1106686, F, Michna Marta, 2316, GER, WGM, 10, 1978, 126.19035120773454, 30, 2361.733333333333 
1107038, M, Socko Bartosz, 2623, POL, GM, 10, 1978, 135.7740803970202, 108, 2502.259259259259 
1107046, M, Nurkiewicz Maciej, 2336, POL, NULL, 10, 1979, 133.74830265234831, 29, 2271.0689655172414 
1108514, M, Malecki Rafal, 1950, POL, NULL, 20, 1976, 129.11302331524652, 23, 1992.7391304347825 
1108760, M, Cyborowski Lukasz, 2495, POL, GM, 10, 1980, 136.323043380253, 66, 2381.4848484848485 
1108832, M, Tymrakiewicz Rafal, 2144, POL, FM, 20, 1977, 135.58048954138008, 34, 2141.529411764706 
1109057, M, Hnydiuk Aleksander, 2361, POL, IM, 10, 1978, 131.69357112721156, 39, 2409.3076923076924 
1109243, M, Jedynak Radoslaw, 2341, POL, GM, 10, 1982, 138.72733900074138, 26, 2124.423076923077 
110973, M, Pichot Alan, 2637, ARG, GM, 10, 1998, 132.39946193408733, 92, 2486.195652173913 
1110969, M, Lisowski Krzysztof, 2136, POL, NULL, 20, 1975, 133.76254926059406, 42, 2232.8809523809523 
1111078, M, Antoniewski Rafal, 2483, POL, GM, 10, 1980, 131.01866068416084, 38, 2454.6315789473683 
1111400, M, Sielicki Tomasz, 1948, POL, NULL, 20, 1960, 137.6943254216585, 36, 2067.972222222222 
1112635, M, Bartel Mateusz, 2627, POL, GM, 10, 1985, 132.32468315926639, 161, 2518.4285714285716 
1112848, M, Jakubowski Krzysztof, 2474, POL, GM, 10, 1983, 134.38767347805202, 102, 2351.656862745098 
1112953, M, Dziuba Marcin, 2565, POL, GM, 10, 1983, 137.146116253188, 53, 2406.811320754717 
1113100, M, Krasenkow Michal, 2541, POL, GM, 10, 1963, 132.39617047308124, 62, 2355.5967741935483 
1113380, M, Lewicki Miroslaw, 2336, POL, IM, 10, 1995, 133.57767823359663, 25, 2429.04 
1113585, M, Swicarz Maciej, 2312, POL, NULL, 20, 1981, 138.16647885551123, 31, 2242.2580645161293 
1114115, M, Chojnacki Krzysztof, 2321, POL, IM, 10, 1983, 135.2968529479715, 35, 2200.2285714285713 
1114565, M, Krzywda Andrzej, 2249, POL, CM, 20, 1980, 134.89413232068722, 50, 2246.32 
1114620, M, Bukojemski Adam, 2202, POL, NULL, 20, 1982, 136.7171373736747, 29, 2185.9310344827586 
1114891, M, Mickiewicz Piotr, 2272, POL, NULL, 20, 1979, 134.55505889143345, 25, 2270.0 
1115120, M, Heberla Bartlomiej, 2571, POL, GM, 10, 1985, 131.66749221184932, 110, 2399.1454545454544 
1115308, M, Sliwerski Radoslaw, 1999, POL, NULL, 20, 1978, 137.6837094893069, 31, 2148.967741935484 
1116207, M, Gajewski Grzegorz, 2589, POL, GM, 10, 1985, 137.5152944991756, 92, 2528.282608695652 
1116657, M, Stachanczyk Jacek, 2171, POL, IM, 20, 1977, 137.88232436158887, 31, 2060.1935483870966 
1117289, M, Luba Lukasz, 2092, POL, NULL, 20, 1987, 133.01592816400597, 45, 2161.8 
1117599, M, Przybylski Wojciech, 2321, POL, FM, 20, 1985, 129.42578883999326, 24, 2290.4166666666665 
1118080, F, Worek Joanna, 2279, CZE, WGM, 20, 1986, 133.2273953236162, 68, 2247.1911764705883 
